Part,Value,Device,Package,Description,AREA,B2585,CURRENT,DCR,ESR,HALF_ANGLE,PACKAGE,POWER,SENSITIVITY,SKU,TEMP,VALUE,VB,VOLTAGE,VR,VS
R57,12.1kΩ 0.1%,RES-H-12.1K-1608,1608,Resistor Horizontal,,,,,,,1608,1/8W,,21-1212,25ppm/°C,12.1kΩ 0.1%,,,,
R58,12.1kΩ 0.1%,RES-H-12.1K-1608,1608,Resistor Horizontal,,,,,,,1608,1/8W,,21-1212,25ppm/°C,12.1kΩ 0.1%,,,,
RT1,68kΩ 5%,THERMISTOR-V-68K-1608,1608,Thermistor Vertical,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT2,68kΩ 5%,THERMISTOR-V-68K-1608,1608,Thermistor Vertical,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT3,68kΩ 5%,THERMISTOR-H-68K-1608,1608,Thermistor Horizontal,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT4,68kΩ 5%,THERMISTOR-V-68K-1608,1608,Thermistor Vertical,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
RT5,68kΩ 5%,THERMISTOR-H-68K-1608,1608,Thermistor Horizontal,,3935K 1%,,,,,1608,,,26-0004,,68kΩ 5%,,,,
TP1,TEST_POINT-SMD-C-1.25,TEST_POINT-SMD-C-1.25,SMD-C-1.25,Test Point,,,,,,,,,,,,,,,,
TP2,TEST_POINT-SMD-C-1.25,TEST_POINT-SMD-C-1.25,SMD-C-1.25,Test Point,,,,,,,,,,,,,,,,
U1,TCA9535R,TCA9535R,QFN-24-4040,IO Expander - 16b,,,,,,,,,,27-0001,,TCA9535R,,,,
U2,SPV1040,SPV1040,TSSOP8,Solar Battery Charger with MPPT,,,,,,,,,,60-0001,,SPV1040,,,,
U3,SPV1040,SPV1040,TSSOP8,Solar Battery Charger with MPPT,,,,,,,,,,60-0001,,SPV1040,,,,
U4,LTC2499,LTC2499,QFN-38-5070,LTC2499,,,,,,,,,,27-0002,,LTC2499,,,,
U5,LTC2499,LTC2499,QFN-38-5070,LTC2499,,,,,,,,,,27-0002,,LTC2499,,,,
U6,MCP1501-18,MCP1501-18E/RW,WSON-8,Voltage Reference with Enable and Feedback,,,,,,,,,,62-0004,,MCP1501-18,,1.800V,,
